Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-02-21T21:30:00-04:00;2022-02-22;02:30;93;Provence-Alpes-Côte d'Azur;;;;;;5200;Consolidé;
2022-02-21T22:30:00-04:00;2022-02-22;03:30;93;Provence-Alpes-Côte d'Azur;;;;;;4862;Consolidé;
2022-02-21T23:00:00-04:00;2022-02-22;04:00;93;Provence-Alpes-Côte d'Azur;3758;Définitif;;;3758;4715;Consolidé;8473
2022-02-22T00:30:00-04:00;2022-02-22;05:30;93;Provence-Alpes-Côte d'Azur;;;;;;4833;Consolidé;
2022-02-22T04:00:00-04:00;2022-02-22;09:00;93;Provence-Alpes-Côte d'Azur;4196;Définitif;;;4196;5589;Consolidé;9785
2022-02-22T06:00:00-04:00;2022-02-22;11:00;93;Provence-Alpes-Côte d'Azur;3952;Définitif;;;3952;5386;Consolidé;9338
2022-02-22T08:30:00-04:00;2022-02-22;13:30;93;Provence-Alpes-Côte d'Azur;;;;;;5382;Consolidé;
2022-02-22T09:30:00-04:00;2022-02-22;14:30;93;Provence-Alpes-Côte d'Azur;;;;;;5190;Consolidé;
2022-02-22T13:30:00-04:00;2022-02-22;18:30;93;Provence-Alpes-Côte d'Azur;;;;;;5476;Consolidé;
2022-02-22T18:00:00-04:00;2022-02-22;23:00;93;Provence-Alpes-Côte d'Azur;3540;Définitif;;;3540;5241;Consolidé;8781
2022-02-22T19:30:00-04:00;2022-02-23;00:30;93;Provence-Alpes-Côte d'Azur;;;;;;5094;Consolidé;
2022-02-22T20:00:00-04:00;2022-02-23;01:00;93;Provence-Alpes-Côte d'Azur;3636;Définitif;;;3636;4940;Consolidé;8576
2022-02-22T20:30:00-04:00;2022-02-23;01:30;93;Provence-Alpes-Côte d'Azur;;;;;;4907;Consolidé;
2022-02-23T02:30:00-04:00;2022-02-23;07:30;93;Provence-Alpes-Côte d'Azur;;;;;;5365;Consolidé;
2022-02-23T05:00:00-04:00;2022-02-23;10:00;93;Provence-Alpes-Côte d'Azur;4913;Définitif;;;4913;5377;Consolidé;10290
2022-02-23T14:00:00-04:00;2022-02-23;19:00;93;Provence-Alpes-Côte d'Azur;5235;Définitif;;;5235;5749;Consolidé;10984
2022-02-23T14:30:00-04:00;2022-02-23;19:30;93;Provence-Alpes-Côte d'Azur;;;;;;5877;Consolidé;
2022-02-23T16:30:00-04:00;2022-02-23;21:30;93;Provence-Alpes-Côte d'Azur;;;;;;5253;Consolidé;
2022-02-23T20:30:00-04:00;2022-02-24;01:30;93;Provence-Alpes-Côte d'Azur;;;;;;4954;Consolidé;
2022-02-23T21:30:00-04:00;2022-02-24;02:30;93;Provence-Alpes-Côte d'Azur;;;;;;5066;Consolidé;
2022-02-24T00:30:00-04:00;2022-02-24;05:30;93;Provence-Alpes-Côte d'Azur;;;;;;4675;Consolidé;
2022-02-24T02:00:00-04:00;2022-02-24;07:00;93;Provence-Alpes-Côte d'Azur;5303;Définitif;;;5303;5292;Consolidé;10595
2022-02-24T06:00:00-04:00;2022-02-24;11:00;93;Provence-Alpes-Côte d'Azur;4133;Définitif;;;4133;5522;Consolidé;9655
2022-02-24T07:00:00-04:00;2022-02-24;12:00;93;Provence-Alpes-Côte d'Azur;3786;Définitif;;;3786;5643;Consolidé;9429
2022-04-07T11:30:00-04:00;2022-04-07;17:30;93;Provence-Alpes-Côte d'Azur;;;;;;4547;Consolidé;
2022-04-07T13:00:00-04:00;2022-04-07;19:00;93;Provence-Alpes-Côte d'Azur;5053;Définitif;;;5053;4902;Consolidé;9955
2022-04-07T21:00:00-04:00;2022-04-08;03:00;93;Provence-Alpes-Côte d'Azur;4497;Définitif;;;4497;4281;Consolidé;8778
2022-04-08T01:00:00-04:00;2022-04-08;07:00;93;Provence-Alpes-Côte d'Azur;6004;Définitif;;;6004;4547;Consolidé;10551
2022-04-08T02:30:00-04:00;2022-04-08;08:30;93;Provence-Alpes-Côte d'Azur;;;;;;4785;Consolidé;
2022-04-08T03:00:00-04:00;2022-04-08;09:00;93;Provence-Alpes-Côte d'Azur;5798;Définitif;;;5798;4785;Consolidé;10583
2022-04-08T11:00:00-04:00;2022-04-08;17:00;93;Provence-Alpes-Côte d'Azur;4992;Définitif;;;4992;4130;Consolidé;9122
2022-04-08T12:00:00-04:00;2022-04-08;18:00;93;Provence-Alpes-Côte d'Azur;5097;Définitif;;;5097;4140;Consolidé;9237
2022-04-08T13:00:00-04:00;2022-04-08;19:00;93;Provence-Alpes-Côte d'Azur;5341;Définitif;;;5341;4410;Consolidé;9751
2022-04-08T14:30:00-04:00;2022-04-08;20:30;93;Provence-Alpes-Côte d'Azur;;;;;;4641;Consolidé;
2022-04-08T18:00:00-04:00;2022-04-09;00:00;93;Provence-Alpes-Côte d'Azur;5227;Définitif;;;5227;4490;Consolidé;9717
2022-04-08T20:00:00-04:00;2022-04-09;02:00;93;Provence-Alpes-Côte d'Azur;5230;Définitif;;;5230;4025;Consolidé;9255
2022-04-08T20:30:00-04:00;2022-04-09;02:30;93;Provence-Alpes-Côte d'Azur;;;;;;4105;Consolidé;
2022-04-08T22:00:00-04:00;2022-04-09;04:00;93;Provence-Alpes-Côte d'Azur;5158;Définitif;;;5158;3693;Consolidé;8851
2022-04-09T01:00:00-04:00;2022-04-09;07:00;93;Provence-Alpes-Côte d'Azur;5721;Définitif;;;5721;3822;Consolidé;9543
2022-04-09T03:30:00-04:00;2022-04-09;09:30;93;Provence-Alpes-Côte d'Azur;;;;;;4341;Consolidé;
2022-04-09T11:30:00-04:00;2022-04-09;17:30;93;Provence-Alpes-Côte d'Azur;;;;;;4057;Consolidé;
2022-04-09T12:30:00-04:00;2022-04-09;18:30;93;Provence-Alpes-Côte d'Azur;;;;;;4214;Consolidé;
2022-04-09T15:00:00-04:00;2022-04-09;21:00;93;Provence-Alpes-Côte d'Azur;5750;Définitif;;;5750;4643;Consolidé;10393
